,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2015,1.0002900362,SE.ENR.PRIM.FM.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
1,2016,0.9997799993,SE.ENR.PRIM.FM.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
2,2017,0.9998999834000001,SE.ENR.PRIM.FM.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
3,2018,0.9989100099,SE.ENR.PRIM.FM.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
4,2019,0.99921,SE.ENR.PRIM.FM.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
5,2015,1.0024600029,SE.ENR.PRIM.FM.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
6,2016,1.0050899982,SE.ENR.PRIM.FM.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
7,2017,1.0094799995,SE.ENR.PRIM.FM.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
8,2018,1.0113500357,SE.ENR.PRIM.FM.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
9,2019,1.0117199421,SE.ENR.PRIM.FM.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
10,2020,1.0097700357,SE.ENR.PRIM.FM.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
11,2015,0.9937800169000001,SE.ENR.PRIM.FM.ZS,FRA,France,Europe & Central Asia,High income,Not classified
12,2016,0.994509995,SE.ENR.PRIM.FM.ZS,FRA,France,Europe & Central Asia,High income,Not classified
13,2017,0.9940699935,SE.ENR.PRIM.FM.ZS,FRA,France,Europe & Central Asia,High income,Not classified
14,2018,0.9940500259,SE.ENR.PRIM.FM.ZS,FRA,France,Europe & Central Asia,High income,Not classified
15,2019,0.9949300289,SE.ENR.PRIM.FM.ZS,FRA,France,Europe & Central Asia,High income,Not classified
16,2015,0.9987300038,SE.ENR.PRIM.FM.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
17,2016,1.0002599955,SE.ENR.PRIM.FM.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
18,2017,1.0025700331,SE.ENR.PRIM.FM.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
19,2018,1.0072200298,SE.ENR.PRIM.FM.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
20,2019,1.0083899498,SE.ENR.PRIM.FM.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
21,2015,1.1161799431,SE.ENR.PRIM.FM.ZS,IND,India,South Asia,Lower middle income,IBRD
22,2016,1.1610399485,SE.ENR.PRIM.FM.ZS,IND,India,South Asia,Lower middle income,IBRD
